Table Poss,Season,Points,Team,Total Shots,Shots OutOfBox,Shots SixYardBox,Shots PenaltyArea,Shots Open Play,Shots Counters,Shots Set Pieces,Shots Against,Total Goals,Goals OutOfBox,Goals PenaltyArea,Goals SixYardBox,Goals Penalty,Own Goals,Total Goals Less PK,Goals Open Play,Goals Counters,Goals Set Pieces,Goals Allowed,Key Passes,Assists,Unsuccessful Dribbles,Successful Dribbles,TotalTackles,DribbledPast,Interceprions,Expenditure,Income,Net Spend
16,2012/2013,41,Newcastle United,532,265,21,246,392,14,121,509,45,4,28,11,4,2,41,31,2,6,68,390,24,321,338,731,276,475,28770000.00,13320000.00,-15450000.00
13,2012/2013,42,Stoke,390,158,43,189,227,9,149,543,37,9,23,1,1,1,36,14,1,15,45,285,20,247,160,727,285,500,21310000.00,576000.00,-20734000.00
8,2012/2013,49,West Bromwich Albion,506,239,43,224,360,22,116,593,53,14,29,7,4,2,49,31,5,9,57,385,36,192,210,698,247,376,4500000.00,3350000.00,-1150000.00
18,2012/2013,36,Wigan,500,228,38,234,348,19,132,532,48,11,29,5,4,2,44,29,2,13,73,386,32,272,266,712,276,694,9390000.00,11700000.00,2310000.00
11,2012/2013,44,Norwich,413,194,43,176,270,11,130,536,41,13,22,5,1,0,40,22,0,17,58,296,27,227,184,675,296,539,9970000.00,342000.00,-9628000.00
19,2012/2013,28,Reading,393,152,39,202,252,15,122,707,41,11,26,4,3,1,38,22,2,13,73,286,28,204,169,601,215,558,9740000.00,810000.00,-8930000.00
2,2013/2014,84,Liverpool,651,281,41,329,461,27,151,479,101,20,57,19,6,5,95,51,9,26,50,497,63,439,471,847,348,466,50310000.00,27720000.00,-22590000.00
1,2013/2014,86,Manchester City,673,226,51,396,479,22,165,357,100,16,65,16,3,0,97,66,5,20,37,549,65,262,339,756,357,496,104400000.00,8100000.00,-96300000.00
3,2013/2014,82,Chelsea,692,316,48,328,535,15,135,391,71,18,34,17,10,5,61,44,5,15,27,512,41,388,435,731,339,372,117320000.00,63210000.00,-54110000.00
4,2013/2014,79,Arsenal,523,193,35,295,379,15,126,452,70,14,49,5,5,1,65,54,3,8,41,408,53,384,343,713,318,542,42750000.00,10760000.00,-31990000.00
5,2013/2014,72,Everton,561,240,38,283,414,19,125,494,62,13,32,13,5,2,57,40,3,12,39,422,44,340,480,739,299,462,25470000.00,41490000.00,16020000.00
7,2013/2014,64,Manchester United,526,186,51,289,385,8,128,452,64,15,37,11,3,3,61,46,1,11,43,393,37,289,337,677,282,592,69420000.00,0.00,-69420000.00
8,2013/2014,38,Southampton,534,236,33,265,391,8,132,365,53,10,34,8,3,2,50,35,2,12,46,404,40,301,337,804,322,528,35640000.00,3780000.00,-31860000.00
11,2013/2014,45,Crystal Palace,414,183,35,196,276,12,120,528,33,7,20,5,4,7,29,17,2,8,48,312,20,385,291,846,351,697,29700000.00,0.00,-29700000.00
6,2013/2014,69,Tottenham,587,298,29,260,436,16,129,426,51,12,28,10,2,2,49,30,4,11,51,445,32,285,417,751,293,559,109690000.00,121610000.00,11920000.00
9,2013/2014,50,Stoke,428,203,32,193,320,7,96,547,43,6,23,14,5,5,38,29,3,7,52,330,28,263,287,791,404,480,5760000.00,0.00,-5760000.00
10,2013/2014,49,Newcastle United,579,310,34,235,427,17,132,486,43,15,18,8,4,2,39,28,3,8,59,424,25,331,382,733,285,595,0.00,23280000.00,23280000.00
12,2013/2014,42,Swansea,495,243,25,227,384,8,99,483,49,6,32,9,2,2,47,33,0,10,54,386,38,311,288,672,347,641,22960000.00,0.00,-22960000.00
13,2013/2014,40,West Ham,422,166,35,221,281,10,129,680,38,11,22,4,2,1,36,23,2,10,51,321,25,291,283,651,272,401,20970000.00,477000.00,-20493000.00
17,2013/2014,36,West Bromwich Albion,486,214,30,242,339,9,136,494,43,6,27,8,2,3,41,32,1,6,59,364,27,199,297,701,322,595,11610000.00,10260000.00,-1350000.00
16,2013/2014,37,Hull,429,197,31,201,289,3,134,532,38,7,21,7,1,0,37,21,2,10,53,303,22,158,220,721,299,611,27540000.00,792000.00,-26748000.00
15,2013/2014,38,Aston Villa,431,224,12,195,332,12,83,494,42,6,26,6,2,2,40,25,4,7,61,334,27,227,235,748,304,455,17860000.00,4590000.00,-13270000.00
14,2013/2014,38,Sunderland,491,257,30,204,330,11,144,635,47,8,29,4,2,3,45,18,4,13,60,359,24,206,245,704,340,415,28760000.00,20010000.00,-8750000.00
19,2013/2014,32,Fulham,431,205,31,195,301,13,114,581,43,11,18,9,6,0,37,21,1,14,85,322,28,197,303,702,347,498,24390000.00,2840000.00,-21550000.00
18,2013/2014,33,Norwich,467,228,33,206,339,9,117,673,31,2,17,9,5,1,26,22,1,4,62,347,18,237,253,674,367,526,25650000.00,4350000.00,-21300000.00
20,2013/2014,30,Cardiff,418,193,32,193,277,4,136,692,30,6,20,4,1,2,29,16,0,13,74,298,23,201,314,620,363,493,39610000.00,3370000.00,-36240000.00
3,2014/2015,75,Arsenal,610,233,34,343,467,14,122,407,70,14,46,9,7,1,63,45,2,16,36,473,49,383,599,737,376,766,107080000.00,23580000.00,-83500000.00
